name;subject;send_date;send;delivered;opened
КОМИССИЯ НАЛИЧНЫМИ ЗА 3 ДНЯ!;КОМИССИЯ НАЛИЧНЫМИ ЗА 3 ДНЯ!;2018-06-25 07:32:02;45;45;14
КОМИССИЯ НАЛИЧНЫМИ ЗА 3 ДНЯ!;КОМИССИЯ НАЛИЧНЫМИ ЗА 3 ДНЯ!;2018-06-25 08:50:35;27;26;4
Рассылка Манхеттен;Рассылка Манхеттен;2018-06-25 10:05:48;1;1;1
TriBeCa Apartments ждет вас :);TriBeCa Apartments ждет вас :);2018-06-27 14:45:42;34;33;24
TriBeCa Apartments ждет вас :);TriBeCa Apartments ждет вас :);2018-06-27 15:58:10;2;2;2
TriBeCa Apartments ждет вас :);TriBeCa Apartments ждет вас :);2018-06-27 16:07:15;1;1;1
СТАРТ ПРОДАЖ! PLAY ПЕРВЫЙ.ДИНАМИЧНЫЙ ДОМ! М.ТУЛЬСКАЯ;СТАРТ ПРОДАЖ! PLAY ПЕРВЫЙ.ДИНАМИЧНЫЙ ДОМ! М.ТУЛЬСКАЯ;2018-06-28 07:42:00;3092;2891;785
TriBeCa Apartments ждет вас :);TriBeCa Apartments ждет вас :);2018-06-28 12:58:59;1;1;1
1;1;2018-06-29 11:44:29;1;1;1
1;1;2018-06-29 12:31:41;1;1;1
1;1;2018-06-29 12:50:02;1;1;1
1;1;2018-06-29 13:12:03;1;1;1
1;1;2018-06-29 13:32:32;1;1;1
1;1;2018-06-29 14:03:34;1;1;1
1;1;2018-06-29 14:27:03;1;1;1
1;1;2018-06-29 15:42:54;1;1;1
1;1;2018-06-29 15:52:37;0;0;0
1;1;2018-06-29 16:02:00;1;1;1
1;1;2018-06-29 16:18:13;1;1;1
1;1;2018-07-02 08:06:16;1;1;1
1;1;2018-07-02 09:03:57;1;1;1
1;1;2018-07-02 11:49:15;1;1;1
1;1;2018-07-02 13:50:40;1;1;1
1;1;2018-07-02 14:07:37;1;1;1
1;1;2018-07-02 14:25:10;1;1;1
1;1;2018-07-02 14:58:18;1;1;1
1;1;2018-07-02 15:15:40;5;4;2
1;1;2018-07-03 07:57:28;1;1;1
1;1;2018-07-03 08:46:39;1;1;1
1;1;2018-07-03 09:30:01;0;0;0
1;1;2018-07-03 09:32:25;1;1;1
1;1;2018-07-03 10:12:24;1;1;1
1;1;2018-07-03 10:48:28;1;1;1
1;1;2018-07-03 10:56:51;0;0;0
1;1;2018-07-03 11:23:44;1;1;1
1;1;2018-07-03 12:55:31;1;1;1
1;1;2018-07-03 13:16:36;1;1;1
1;1;2018-07-03 14:28:43;1;1;1
1;1;2018-07-04 09:55:55;1;1;1
1;1;2018-07-04 11:48:59;1;1;1
1;1;2018-07-04 12:07:22;1;1;1
